row_id	card_id	card_name	attack_name	base_damage	energy_cost	effect_text	effect_family	backend_owner	pattern_target	needs_pending_action	implementation_status	verification_status	fully_reviewed	notes
22	xy1-18	Skiddo	Lead	0	Colorless	Flip a coin. If heads, search your deck for a Supporter card, reveal it, and put it into your hand. Shuffle your deck afterward.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
23	xy1-19	Gogoat	Lead	0	Colorless	Search your deck for up to 2 Supporter cards, reveal them, and put them into your hand. Shuffle your deck afterward.	search-deck	backend-engine	Strategy.AttackEffect	yes	partial	not-reviewed	no	
24	xy1-19	Gogoat	Charge Dash	70+	Grass,Colorless,Colorless	You may do 20 more damage. If you do, this PokÃ©mon does 20 damage to itself.	self-damage	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
25	xy1-20	Slugma	Flamethrower	50	Fire,Colorless,Colorless	Discard an Energy attached to this PokÃ©mon.	discard-energy	backend-engine	Strategy.AttackEffect	no	partial-or-recent	not-reviewed	no	
26	xy1-21	Magcargo	Magma Mantle	30+	Fire,Colorless	You may discard the top card of your deck. If that card is a Fire Energy card, this attack does 50 more damage.	optional-effect	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
27	xy1-22	Pansear	Fireworks	30	Fire,Colorless	Discard an Energy attached to this PokÃ©mon.	discard-energy	backend-engine	Strategy.AttackEffect	no	partial-or-recent	not-reviewed	no	
28	xy1-23	Simisear	Yawn	0	Colorless	Your opponent's Active PokÃ©mon is now Asleep.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
29	xy1-23	Simisear	Flamethrower	90	Fire,Colorless,Colorless	Discard a Fire Energy attached to this PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
30	xy1-25	Braixen	Clairvoyant Eye	0	Colorless	Look at the top 3 cards of your deck and put them back on top of your deck in any order.	deck-ordering	backend-engine	PendingAction.DeckOrdering	yes	todo	not-reviewed	no	
31	xy1-25	Braixen	Fire Tail Slap	40	Fire,Colorless	Discard a Fire Energy attached to this PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
32	xy1-26	Delphox	Blaze Ball	50+	Colorless,Colorless,Colorless	This attack does 20 more damage for each Fire Energy attached to this PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
33	xy1-27	Fletchinder	Flame Charge	0	Colorless	Search your deck for a Fire Energy card and attach it to this PokÃ©mon. Shuffle your deck afterward.	search-deck	backend-engine	Strategy.AttackEffect	yes	partial	not-reviewed	no	
34	xy1-28	Talonflame	Devastating Wind	0	Colorless	Your opponent shuffles his or her hand into his or her deck and draws 4 cards.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
35	xy1-28	Talonflame	Flare Blitz	100	Fire,Fire	Discard all Fire Energy attached to this PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
36	xy1-29	Blastoise-EX	Rapid Spin	30	Colorless,Colorless	Switch this PokÃ©mon with 1 of your Benched PokÃ©mon. Then, your opponent switches his or her Active PokÃ©mon with 1 of his or her Benched PokÃ©mon.	switch-effect	backend-engine	Strategy.AttackEffect	yes	todo	not-reviewed	no	
37	xy1-29	Blastoise-EX	Splash Bomb	120	Water,Water,Water	Flip a coin. If tails, this PokÃ©mon does 30 damage to itself.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
38	xy1-30	M Blastoise-EX	Hydro Bombard	120	Water,Water,Water	This attack does 30 damage to 2 of your opponent's Benched PokÃ©mon. (Don't apply Weakness and Resistance for Benched PokÃ©mon.)	bench-damage	backend-engine	Strategy.AttackEffect	no	implemented	verified	yes	
39	xy1-32	Cloyster	Clamp Crush	30	Water,Colorless	Flip a coin. If heads, your opponent's Active PokÃ©mon is now Paralyzed and discard an Energy attached to that PokÃ©mon.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
40	xy1-32	Cloyster	Spike Cannon	30Ã—	Water,Water,Colorless	Flip 5 coins. This attack does 30 damage times the number of heads.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
41	xy1-33	Staryu	Reckless Charge	30	Water,Colorless	This PokÃ©mon does 10 damage to itself.	self-damage	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
42	xy1-34	Starmie	Recover	0	Water	Discard an Energy attached to this PokÃ©mon and heal all damage from it.	discard-energy	backend-engine	Strategy.AttackEffect	no	partial-or-recent	not-reviewed	no	
43	xy1-34	Starmie	Core Splash	60+	Water,Colorless,Colorless	If this PokÃ©mon has any Psychic Energy attached to it, this attack does 30 more damage.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
44	xy1-35	Lapras	Seafaring	0	Water	Flip 3 coins. For each heads, attach a Water Energy card from your discard pile to your Benched PokÃ©mon in any way you like.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
45	xy1-35	Lapras	Hydro Pump	10+	Colorless,Colorless	This attack does 20 more damage for each Water Energy attached to this PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
46	xy1-36	Corsola	Refresh	0	Colorless	Heal 30 damage and remove all Special Conditions from this PokÃ©mon.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
47	xy1-36	Corsola	Spiny Rush	20+	Water,Colorless	Flip a coin until you get tails. This attack does 20 more damage for each heads.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
48	xy1-37	Panpour	Water Splash	10+	Water,Colorless	Flip a coin. If heads, this attack does 20 more damage.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
49	xy1-38	Simipour	Recycle	0	Colorless	Put a card from your discard pile on top of your deck.	recover-discard-topdeck	backend-engine	Strategy.AttackEffect	yes	partial-or-recent	not-reviewed	no	
50	xy1-39	Froakie	Bounce	10	Water	Flip a coin. If heads, switch this PokÃ©mon with 1 of your Benched PokÃ©mon.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
51	xy1-40	Frogadier	Lick	30	Water,Colorless	Flip a coin. If heads, your opponent's Active PokÃ©mon is now Paralyzed.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
52	xy1-41	Greninja	Mist Slash	50	Water	This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
53	xy1-42	Pikachu	Nuzzle	0	Colorless	Flip a coin. If heads, your opponent's Active PokÃ©mon is now Paralyzed.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
54	xy1-42	Pikachu	Quick Attack	20+	Colorless,Colorless	Flip a coin. If heads, this attack does 10 more damage.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
55	xy1-43	Raichu	Circle Circuit	20Ã—	Colorless,Colorless	This attack does 20 damage times the number of your Benched PokÃ©mon.	bench-damage	backend-engine	Strategy.AttackEffect	no	implemented	verified	yes	
56	xy1-43	Raichu	Thunderbolt	100	Lightning,Lightning,Colorless	Discard all Energy attached to this PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
57	xy1-45	Electrode	Eerie Impulse	0	Lightning	Flip a coin. If heads, discard an Energy attached to 1 of your opponent's PokÃ©mon.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
58	xy1-46	Emolga-EX	Energy Glide	0	Colorless	Search your deck for a Lightning Energy card and attach it to this PokÃ©mon. Shuffle your deck afterward. If you attached Energy in this way, switch this PokÃ©mon with 1 of your Benched PokÃ©mon.	search-deck	backend-engine	Strategy.AttackEffect	yes	partial	not-reviewed	no	
59	xy1-46	Emolga-EX	Electron Crush	60+	Lightning,Colorless,Colorless	You may discard an Energy attached to this PokÃ©mon. If you do, this attack does 30 more damage.	discard-energy	backend-engine	Strategy.AttackEffect	no	partial-or-recent	not-reviewed	no	
60	xy1-48	Arbok	Gastro Acid	20	Colorless	The Defending PokÃ©mon has no Abilities until the end of your next turn.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
61	xy1-48	Arbok	Poison Jab	50	Psychic,Colorless,Colorless	Your opponent's Active PokÃ©mon is now Poisoned.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
62	xy1-50	Grumpig	Tricky Steps	30	Psychic,Colorless	You may move an Energy attached to your opponent's Active PokÃ©mon to 1 of your opponent's Benched PokÃ©mon.	bench-damage	backend-engine	Chain.TargetSelection	yes	todo	not-reviewed	no	
63	xy1-50	Grumpig	Psybeam	60	Psychic,Psychic,Colorless	Your opponent's Active PokÃ©mon is now Confused.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
64	xy1-51	Venipede	Poison Sting	20	Psychic,Colorless	Your opponent's Active PokÃ©mon is now Poisoned.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
65	xy1-52	Whirlipede	Continuous Tumble	30Ã—	Psychic,Colorless	Flip a coin until you get tails. This attack does 30 damage times the number of heads.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
66	xy1-53	Scolipede	Random Peck	20+	Psychic	Flip 2 coins. This attack does 20 more damage for each heads.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
67	xy1-53	Scolipede	Poison Ring	70	Psychic,Colorless,Colorless,Colorless	Your opponent's Active PokÃ©mon is now Poisoned. That PokÃ©mon can't retreat during your opponent's next turn.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
68	xy1-54	Phantump	Astonish	0	Psychic	Choose a random card from your opponent's hand. Your opponent reveals that card and shuffles it into his or her deck.	hand-disruption	backend-engine	Strategy.AttackEffect	no	implemented	verified	yes	
69	xy1-55	Trevenant	Tree Slam	60	Psychic,Colorless,Colorless	This attack does 20 damage to 2 of your opponent's Benched PokÃ©mon. (Don't apply Weakness and Resistance for Benched PokÃ©mon.)	bench-damage	backend-engine	Strategy.AttackEffect	no	implemented	verified	yes	
70	xy1-56	Pumpkaboo	Confuse Ray	0	Psychic	Your opponent's Active PokÃ©mon is now Confused.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
71	xy1-57	Gourgeist	Eerie Voice	0	Psychic	Put 2 damage counters each of your opponent's PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
72	xy1-57	Gourgeist	Spirit Scream	0	Psychic,Psychic	Put damage counters on both Active PokÃ©mon until the remaining HP of each PokÃ©mon is 10.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
73	xy1-58	Diglett	Mine	0	Fighting	Look at the top card of your opponent's deck. Then, you may have your opponent shuffle his or her deck.	deck-ordering	backend-engine	PendingAction.DeckOrdering	yes	todo	not-reviewed	no	
74	xy1-59	Dugtrio	Earthquake	60	Fighting	This attack does 10 damage to each of your Benched PokÃ©mon. (Don't apply Weakness and Resistance for Benched PokÃ©mon.)	bench-damage	backend-engine	Strategy.AttackEffect	no	implemented	verified	yes	
75	xy1-59	Dugtrio	Rock Tumble	60	Fighting,Colorless,Colorless	This attack's damage isn't affected by Resistance.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
76	xy1-60	Rhyhorn	Dig Out	10	Fighting	Discard the top card of your deck. If that card is a Fighting Energy, attach it to this PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
77	xy1-61	Rhydon	Mad Mountain	0	Fighting,Fighting,Fighting,Colorless	Flip 2 coins. If both of them are heads, discard the top card of your opponent's deck for each damage counter on this PokÃ©mon.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
78	xy1-62	Rhyperior	Rock Black	50Ã—	Fighting	Flip a coin for each Fighting Energy attached to this PokÃ©mon. This attack does 50 damage times the number of heads.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
79	xy1-62	Rhyperior	Rock Wrecker	130	Fighting,Fighting,Colorless,Colorless	This attack's damage isn't affected by Weakness or Resistance. This PokÃ©mon can't attack during your next turn.	attack-restriction	backend-engine	Chain.PreAttack	no	implemented	verified	yes	
80	xy1-63	Lunatone	Double Draw	0	Colorless	Draw 2 cards.	draw	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
81	xy1-63	Lunatone	Moonblast	20	Fighting,Colorless	During your opponent's next turn, any damage done by attacks from the Defending PokÃ©mon is reduced by 20 (before applying Weakness and Resistance).	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
82	xy1-64	Solrock	Cosmic Spin	10+	Colorless	If Lunatone is on your Bench, this attack does 30 more damage.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
83	xy1-65	Timburr	Pummel	20+	Fighting,Colorless	Flip a coin. If heads, this attack does 20 more damage.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
84	xy1-66	Gurdurr	Pummel	20+	Fighting,Colorless	Flip a coin. If heads, this attack does 20 more damage.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
85	xy1-66	Gurdurr	Hammer Arm	60	Fighting,Fighting,Colorless	Discard the top card of your opponent's deck.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
86	xy1-67	Conkeldurr	Wake-Up Slap	30+	Fighting	If your opponent's Active PokÃ©mon is affected by a Special Condition, this attack does 60 more damage. Then, remove all Special Conditions from that PokÃ©mon.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
87	xy1-67	Conkeldurr	Dynamic Punch	60+	Fighting,Fighting,Colorless	Flip a coin. If heads, this attack does 40 more damage and your opponent's Active PokÃ©mon is now Confused.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
88	xy1-68	Sableye	Filch	0	Colorless	Draw a card.	draw	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
89	xy1-68	Sableye	Rip Claw	30	Darkness,Colorless	Flip a coin. If heads, discard an Energy attached to your opponent's Active PokÃ©mon.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
90	xy1-70	Krokorok	Crunch	20	Colorless,Colorless	Flip a coin. If heads, discard an Energy attached to your opponent's Active PokÃ©mon.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
91	xy1-71	Krookodile	Bother	50	Darkness,Colorless,Colorless	Flip a coin. If heads, your opponent can't play any Supporter cards from his or her hand during his or her next turn.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
92	xy1-71	Krookodile	Knock Back	80	Darkness,Darkness,Colorless,Colorless	Your opponent switches his or her Active PokÃ©mon with 1 of his or her Benched PokÃ©mon.	bench-damage	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
93	xy1-72	Zorua	Nasty Plot	0	Darkness,Colorless	Search your deck for a card and put it into your hand. Shuffle your deck afterward.	search-deck	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
94	xy1-73	Zoroark	Corner	30	Darkness	The Defending PokÃ©mon can't retreat during your opponent's next turn.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
95	xy1-73	Zoroark	Night Claw	100	Darkness,Colorless,Colorless	Flip a coin. If tails, discard 2 Energy attached to this PokÃ©mon.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
96	xy1-74	Inkay	Confusion Wave	0	Darkness	Both Active PokÃ©mon are now Confused.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
97	xy1-75	Inkay	Puncture	20	Darkness,Colorless	This attack's damage isn't affected by Resistance.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
98	xy1-76	Malamar	Mental Trash	0	Darkness	Your opponent flips 4 coins. For each tails, he or she discards a card from his or her hand.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
99	xy1-76	Malamar	Distortion Beam	30	Darkness,Colorless,Colorless	Flip a coin. If heads, your opponent's Active PokÃ©mon is now Asleep. If tails, your opponent's Active PokÃ©mon is now Confused.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
100	xy1-77	Malamar	Mental Panic	30	Colorless	If the Defending PokÃ©mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.	attack-restriction	backend-engine	Chain.PreAttack	no	partial-or-recent	not-reviewed	no	
101	xy1-77	Malamar	Puncture	70	Darkness,Darkness,Colorless	This attack's damage isn't affected by Resistance.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
102	xy1-78	Yveltal	Oblivion Wing	30	Darkness	Attach a Darkness Energy card from your discard pile to 1 of your Benched PokÃ©mon.	bench-damage	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
103	xy1-78	Yveltal	Darkness Blade	100	Darkness,Darkness,Colorless	Flip a coin. If tails, this PokÃ©mon can't attack during your next turn.	coin-flip	backend-engine	Strategy.AttackEffect	no	implemented	verified	yes	
104	xy1-79	Yveltal-EX	Evil Ball	20+	Darkness,Colorless	This attack does 20 more damage times the amount of Energy attached to both Active PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
105	xy1-79	Yveltal-EX	Y Cyclone	90	Darkness,Colorless,Colorless	Move an Energy from this PokÃ©mon to 1 of your Benched PokÃ©mon.	bench-damage	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
106	xy1-80	Skarmory-EX	Joust	30	Colorless,Colorless	Before doing damage, discard all PokÃ©mon Tool cards attached to your opponent's Active PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
107	xy1-80	Skarmory-EX	Tailspin Piledriver	80+	Metal,Metal,Colorless	If your opponent's Active PokÃ©mon already has any damage counters on it, this attack does 40 more damage.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
108	xy1-81	Pawniard	Cut Down	0	Metal	Flip a coin. If heads, discard an Energy attached to your opponent's Active PokÃ©mon.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
109	xy1-82	Bisharp	Metal Sound	0	Metal	Your opponent's Active PokÃ©mon is now Confused.	status-condition	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
110	xy1-82	Bisharp	Metal Wallop	40	Metal,Colorless	During your next turn, this PokÃ©mon's Metal Wallop attack does 40 more damage (before applying Weakness and Resistance).	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
111	xy1-84	Doublade	Dual Blades	30Ã—	Metal,Colorless	Flip 2 coins. This attack does 30 damage times the number of heads.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
112	xy1-85	Aegislash	Buster Swing	120	Metal,Metal,Colorless,Colorless	This attack's damage isn't affected by Resistance.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
113	xy1-86	Aegislash	King's Shield	50	Metal,Metal,Colorless,Colorless	Prevent all damage done to this PokÃ©mon by attacks during your opponent's next turn. This PokÃ©mon can't use King's Shield during your next turn.	protection-next-turn	backend-engine	Chain.PreAttack	no	implemented	verified	yes	
114	xy1-87	Jigglypuff	Heartfelt Song	0	Fairy	Discard a Darkness Energy attached to your opponent's Active PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
115	xy1-88	Jigglypuff	Body Slam	20	Fairy,Colorless	Flip a coin. If heads, your opponent's Active PokÃ©mon is now Paralyzed.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
116	xy1-89	Wigglytuff	Gather Energy	0	Colorless	Search your deck for a basic Energy card and attach it to 1 of your PokÃ©mon. Shuffle your deck afterward.	search-deck	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
117	xy1-89	Wigglytuff	Hocus Pinkus	60	Fairy,Colorless,Colorless	The Defending PokÃ©mon can't attack during your opponent's next turn.	attack-restriction	backend-engine	Chain.PreAttack	no	implemented	verified	yes	
118	xy1-90	Wigglytuff	Balloon Barrage	20Ã—	Colorless	This attack does 20 damage times the amount of Energy attached to this PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
119	xy1-90	Wigglytuff	Double-Edge	90	Fairy,Fairy,Colorless	This PokÃ©mon does 10 damage to itself.	self-damage	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
120	xy1-91	Mr. Mime	Massage	0	Fairy,Colorless	Heal 60 damage from 1 of your Benched PokÃ©mon.	healing	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
121	xy1-91	Mr. Mime	Slap Down	40+	Fairy,Colorless,Colorless	Flip 2 coins. This attack does 20 more damage for each heads.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
122	xy1-92	Spritzee	Sweet Scent	0	Fairy	Heal 20 damage from 1 of your PokÃ©mon.	healing	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
123	xy1-95	Slurpuff	Draining Kiss	30	Fairy,Colorless	Heal 30 damage from this PokÃ©mon.	healing	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
124	xy1-96	Xerneas	Geomancy	0	Fairy	Choose 2 of your Benched PokÃ©mon. For each of those PokÃ©mon, search your deck for a Fairy Energy card and attach it to that PokÃ©mon. Shuffle your deck afterward.	search-deck	backend-engine	Strategy.AttackEffect	yes	partial	not-reviewed	no	
125	xy1-96	Xerneas	Rainbow Spear	100	Fairy,Fairy,Colorless	Discard an Energy attached to this PokÃ©mon.	discard-energy	backend-engine	Strategy.AttackEffect	no	partial-or-recent	not-reviewed	no	
126	xy1-97	Xerneas-EX	Break Through	60	Fairy,Colorless,Colorless	This attack does 30 damage to 1 of your opponent's Benched PokÃ©mon. (Don't apply Weakness and Resistance for Benched PokÃ©mon.)	bench-damage	backend-engine	Chain.TargetSelection	yes	implemented	verified	yes	
127	xy1-97	Xerneas-EX	X Blast	140	Fairy,Fairy,Colorless,Colorless	This PokÃ©mon can't use X Blast during your next turn.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
128	xy1-98	Doduo	Double Hit	30Ã—	Colorless,Colorless,Colorless	Flip 2 coins. This attack does 30 damage times the number of heads.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
129	xy1-99	Dodrio	Rage	20+	Colorless	This attack does 10 more damage for each damage counter on this PokÃ©mon.	custom	backend-engine	Strategy.AttackEffect	no	todo	not-reviewed	no	
130	xy1-99	Dodrio	Endeavor	50+	Colorless,Colorless,Colorless	Flip 2 coins. This attack does 20 more damage for each heads.	coin-flip	backend-engine	Strategy.AttackEffect	no	partial	not-reviewed	no	
